Reaction name,SIMMER pred
397,2.7.1
261,2.5.1
373,
367,4.3.2
320,2.3.1
175,5.1.3
366,5.4.99;3.2.1
371,2.7.1
420,1.1.1
146,4.2.3
311,2.7.4;2.7.1
224,
490,3.1.3
179,1.13.11
433,4.1.1
471,4.2.1
353,3.1.3
63,5.3.1
205,2.1.1
185,2.3.1
459,1.14.13;1.17.1;1.1.1
180,3.1.1
53,1.1.1;1.3.1
147,5.4.99
166,2.1.1
449,
271,2.4.2;2.4.1
73,3.6.1
227,
394,3.2.1
359,4.2.3
122,2.3.1
174,
368,6.3.4;2.7.1
372,
100,1.1.1
250,2.7.7;2.4.1
429,
140,4.2.3
131,2.1.1
210,5.3.3
106,4.2.1
60,3.6.1
473,2.7.1
18,2.7.1
256,2.1.1
453,2.7.7
295,2.7.7;2.4.1
480,4.1.1
342,1.14.12;1.1.1
483,2.7.1
20,1.14.11
88,
333,4.1.1
358,6.3.2
296,3.1.2;2.3.1
407,1.2.1;1.14.13;1.1.1
119,6.2.1;2.3.1
120,2.3.1
253,1.11.1
8,3.2.1;2.4.1
177,1.7.1;1.14.13;1.1.1
145,
312,3.2.1
216,
241,5.4.99
14,1.14.20
437,3.5.4
272,5.5.1
187,2.7.1
158,
26,2.6.1
52,3.5.1
479,1.5.1;1.3.1;1.1.1
347,4.2.3
316,3.6.1
460,
337,3.5.1
13,4.2.3
318,2.7.7;2.4.1
482,2.4.1
279,1.14.12;1.17.1;1.1.1
422,2.6.1
211,5.4.2;3.1.3
455,3.5.1
418,5.3.2
382,4.2.3
58,2.1.1
189,2.7.7
489,2.6.1
138,1.13.11
191,1.3.1;1.1.1
139,
255,1.14.13;1.1.1
243,2.4.2;2.4.1
442,2.3.1
35,
287,
220,5.1.3
111,
405,5.4.99
188,3.5.4
242,6.4.1
233,1.8.1
150,1.13.11
457,5.5.1
417,2.7.3;2.7.1
4,3.1.1
228,2.4.1
435,1.1.1
259,1.1.1
92,4.2.1;5.3.1
161,5.1.3
400,6.3.1;6.3.2
438,2.1.1
66,3.1.1
293,
113,1.7.1;1.14.13;1.1.1
204,2.5.1;4.2.3
440,2.1.1
232,1.14.13
27,4.2.1
129,4.1.1;4.99.1
497,
267,1.1.1
208,2.7.1
217,5.4.99
128,2.8.3
487,5.4.99
203,4.3.3
209,2.1.1
493,2.3.1
84,2.1.3
70,
176,2.3.1
300,4.3.1
104,2.5.1
302,1.14.20;1.14.11
29,
317,5.1.3
338,4.2.3
46,4.2.3
69,4.2.1
468,
94,1.14.13;1.1.1
282,2.4.1
290,2.1.1
68,1.3.1;1.1.1
136,2.1.1
201,3.4.16
408,1.5.1;1.1.1
40,5.4.99
85,4.2.1
461,
308,4.3.1;2.6.1;4.4.1
152,2.7.1
436,2.1.1
380,1.5.1;1.3.1;1.1.1
450,2.4.1
441,1.3.1
334,5.1.3
348,1.3.1;1.1.1
396,2.4.1
172,4.1.2
5,
102,2.6.1
298,5.1.3
452,1.1.1
428,
310,1.8.5
388,4.2.3
71,1.1.1
96,2.3.3;2.3.1
283,4.2.3
444,3.2.2
82,3.5.4
28,2.4.1
375,1.14.12;1.1.1
198,1.2.1
275,2.5.1
365,
289,1.14.13
319,3.5.3
240,2.5.1
130,2.1.1
485,2.4.2;2.4.1
326,3.2.1;2.4.1
360,5.3.3
9,
265,4.2.1
434,1.3.1;1.1.1
430,3.1.6
62,2.1.1
164,2.7.1
321,3.2.1;2.4.1
484,4.2.1;5.5.1
11,3.4.13;3.5.1
162,
392,4.2.1
45,2.1.1
304,1.1.1
124,3.2.2
421,5.1.3
151,1.14.13;1.17.1;1.1.1
350,2.1.1
25,5.3.1
236,1.1.1
403,3.1.7;3.1.3
244,
292,5.3.1
108,1.5.1;1.1.1
75,3.5.1;3.5.4
38,5.4.3;2.6.1
260,1.5.3;1.4.3
2,2.4.1
19,3.1.1
195,1.14.13;1.1.1
291,2.1.1
37,2.7.7
263,1.14.11
268,
474,2.4.1
500,
59,3.6.1
284,4.1.3
7,
466,2.1.1
454,1.7.1;1.14.13;1.1.1
196,2.5.1
142,
411,3.5.1
419,5.4.3
39,2.3.1
248,3.2.1
427,3.1.3
432,2.3.1
121,2.3.1
323,2.7.1
157,1.3.1;1.5.1;1.1.1
379,1.1.1
247,
183,3.5.1
410,3.1.7;3.1.3
384,6.2.1;2.3.1
340,1.3.1;1.1.1
448,2.5.1
361,2.3.1
212,1.13.11
305,3.1.7;4.2.3
299,5.1.3
499,2.1.1
402,4.2.3
492,1.8.1
465,3.5.3
409,1.14.13;1.14.12;1.1.1
390,2.8.3
356,3.6.1;2.7.1
237,3.1.3
137,5.3.3
251,3.6.1;2.7.7
182,
127,1.2.1
345,2.6.1
306,4.99.1
285,4.2.1
167,1.2.1;1.3.1;1.1.1
181,2.5.1
159,1.1.1
354,1.5.3
331,3.5.1
132,3.5.1
281,
294,3.2.1
377,2.4.1
116,2.7.7
257,1.8.1
123,3.1.3
376,5.3.1;2.7.7
36,5.1.3
202,4.1.99;2.2.1
144,2.4.1
200,
238,3.2.1
254,1.5.1;1.1.1
49,1.2.1;1.1.1
297,1.14.13;1.3.1;1.1.1
475,1.1.1
346,3.2.2
491,1.7.1;1.1.1
332,1.3.1;1.14.13;1.1.1
225,2.1.1
101,1.2.1;1.14.13;1.1.1
213,1.5.1;1.1.1
65,2.7.7
494,2.5.1
56,4.1.2
156,3.5.1
451,2.7.1
286,3.1.7;2.5.1
149,
341,1.2.1;1.1.1
134,2.1.2
413,3.1.1
64,3.1.3
135,2.1.1
262,2.7.4;2.7.1
229,2.7.7;2.7.1
477,3.7.1
447,4.99.1
