reactionID,predictions
1,2.4.1;3.2.1;2.4.2;3.1.2
2,2.4.1;2.4.2;3.6.1;3.1.3
3,1.6.3;1.14.13;1.11.1;1.8.1
4,1.3.1;1.1.1;1.8.1;1.16.1
5,2.7.1;2.5.1;2.1.1;3.1.3
6,3.2.1;1.14.99;5.1.3;1.14.19
7,1.14.14;4.99.1;5.4.4;1.14.13
8,3.2.1;2.4.1;5.1.3;3.6.1
9,5.5.1;5.4.99;2.1.1;5.3.3
10,2.7.8;2.7.1;2.4.2;2.5.1
11,3.5.1;3.4.19;3.2.2;3.1.1
12,4.4.1;4.1.99;4.3.1;4.5.1
13,2.5.1;4.2.3;3.1.3;5.5.1
14,1.6.3;1.14.13;1.13.12;1.13.11
15,3.1.3;3.6.1;2.7.1;3.1.7
16,7.5.2;7.6.2;3.6.3;3.A.1
17,2.4.1;3.6.1;3.1.3;2.4.2
18,6.2.1;2.7.2;2.7.1;2.7.3
19,1.7.2;2.3.1;3.1.1;1.1.3
20,1.6.3;1.14.15;1.1.3;1.14.13
21,1.8.1;1.1.1;1.3.1;1.16.1
22,2.1.1;2.3.3;2.5.1;5.3.3
23,2.5.1;5.3.99;4.2.99;2.2.1
24,5.1.1;3.5.1;2.6.1;4.3.1
25,5.3.1;5.1.3;3.5.99;4.1.2
26,2.6.1;4.3.1;4.4.1;3.5.1
27,3.5.2;1.13.12;1.5.3;1.3.3
28,2.4.1;2.4.2;5.1.3;3.6.1
29,1.1.3;1.14.18;1.10.3;1.21.3
30,3.2.1;5.4.2;1.13.11;3.3.2
31,5.5.1;4.2.2;4.5.1;5.4.4
32,2.7.7;2.4.2;6.1.1;6.5.1
33,2.6.1;1.4.99;1.4.1;2.3.1
34,2.3.1;2.8.3;3.1.2;3.1.1
35,1.3.3;1.3.99;3.5.2;1.3.8
36,5.1.1;5.1.99;3.4.17;3.5.3
37,2.7.1;2.5.1;2.7.6;4.1.1
38,2.6.1;5.1.1;5.4.3;3.5.1
39,2.3.1;3.1.1;1.1.1;1.3.1
40,2.6.1;1.4.1;1.5.1;3.5.1
41,2.5.1;5.3.99;5.5.1;4.2.3
42,1.1.1;1.3.1;2.3.1;1.8.1
43,2.7.3;3.9.1;1.17.4;3.6.1
44,1.13.11;1.14.99;3.3.2;1.6.3
45,2.1.1;2.3.1;2.3.3;3.1.1
46,2.5.1;5.5.1;5.3.3;5.3.99
47,1.13.11;1.14.99;1.6.3;1.14.13
48,3.6.1;3.1.7;4.6.1;3.1.11
49,1.1.1;1.8.1;1.3.1;1.16.1
50,1.1.1;1.8.1;1.3.1;1.16.1
51,2.3.1;3.1.1;3.1.2;1.1.1
52,3.5.1;3.4.19;3.2.2;3.5.3
53,1.3.1;1.1.1;5.3.3;1.3.99
54,5.4.2;5.4.1;1.13.99;5.4.99
55,2.6.1;1.4.1;3.5.1;2.7.2
56,4.1.3;3.7.1;4.2.99;2.2.1
57,2.4.1;2.4.2;2.7.7;3.2.1
58,2.1.1;2.5.1;2.3.3;4.4.1
59,2.8.2;2.4.2;3.1.6;2.7.8
60,3.6.1;3.1.3;3.6.5;2.7.1
61,5.3.99;4.4.1;4.99.1;4.1.2
62,2.1.1;2.5.1;6.3.2;2.3.2
63,6.5.1;2.7.7;6.1.1;2.4.2
