reaction_id,EC Number,BEC-Pred,CLAIRE,SelenzymeRF,SIMMER,Theia,MajorityVote,MajorityVoteCore4
10233,2.4.2.20,2.4.2,2.7.7;2.4.2;2.4.1;2.7.4,2.4.2.10|2.4.2.9,2.4.2,2.4.2;2.7.7;2.5.1;1.3.1;2.4.1,2.4.2,2.4.2
11273,1.1.5.10,1.1.5,1.3.5;1.1.5;1.17.5;1.4.7,1.4.5.1;1.2.5.2;1.1.5.12;1.1.5.4,1.1.5,1.1.5;1.3.5;1.8.5;1.4.5;1.6.5,1.1.5,1.1.5
11381,1.14.11.72,1.14.11,1.13.12;1.14.11;1.2.3;1.13.11,1.14.11.46;1.14.11.1;1.14.11.8;1.13|1.13.12.19;1.14.11.45;1.14.11.-|1.14.11.55;1.14.11|1.14.11.2|1.14.11.57;1.14.11.28;1.14.11.56;1.14.11.-|1.14.11.35;1.14.11.39;1.14.11.40;1.14.11.41;1.14.11.21;1.14.11.15;1.14.11.13;1.14.11.24;1.14.11.25;1.14.11.20;1.14.11.11;1.14.11.52;1.14.20.12;1.14.20.11;1.14.11.18;1.14.11.49;1.14.11.38;1.14.11.58;1.14.11.17;1.14.11.9,1.14.11,1.14.11;1.13.11;2.6.1;1.14.20;1.13.12,1.14.11,1.14.11
12714,2.7.6.4,2.7.4,2.8.2;2.4.3;7.1.1;2.7.1,2.7.6.1,2.7.6,2.7.1;3.6.1;2.7.4;2.7.9;2.7.8,2.7.6,2.7.6
12886,2.4.1.110,2.4.1,2.8.2;2.3.3;2.7.8;2.3.1,2.4.1.36;2.4.1.217;2.4.1.-|2.4.1.266;2.4.1.269;2.4.1.252;2.4.1.246;2.4.1.251;2.4.1.270;2.4.1.347;2.4.1.342;2.4.1.345;2.4.1.245;2.4.1.213;2.4.1.346;2.4.1.268;2.4.1.15;2.4.1.348;2.4.1.90;2.4.1.22;2.4.1.-|2.4.1.284;2.4.1.-|2.4.1.323,2.4.1,2.4.1;2.4.2;2.7.4;3.6.1;2.7.7,2.4.1,2.4.1
13822,1.14.11.64,1.14.11,1.13.12;1.14.11;1.13.11;1.2.3,1.13|1.13.12.19;1.1.99.39;1.1.99.2;1.14.11.21;1.14.11.41;1.14.11.24;1.14.11.25;1.14.11.45;1.14.11.40;1.14.11.1;1.14.11.18;1.14.11.28;1.14.11|1.14.11.2|1.14.11.57;1.14.11.56;1.14.11.39;1.14.11.8;1.14.11.-|1.14.11.55;1.14.11.15;1.14.11.-|1.14.11.35;1.14.11.46;1.14.11.13;1.14.11.36;1.14.11.11;1.14.11.52;1.14.11.20;1.14.11.26;1.14.11.6,1.14.11,1.14.11;1.1.99;4.1.3;2.6.1;1.14.20,1.14.11,1.14.11
14590,2.1.1.398,2.1.1,2.1.1;2.5.1;4.4.1;2.8.1,2.1.1.169|2.1.1.175;2.1.1.68;2.1.1.155|2.1.1.75;2.1.1.128;2.1.1.149|2.1.1.169|2.1.1.267|2.1.1.76;2.1.1.104;2.1.1.283;2.1.1.116;2.1.1.65;2.1.1.109;2.1.1.-|2.1.1.338;2.1.1.336;2.1.1.110;2.1.1.-|2.1.1.291;2.1.1.146|2.1.1.279;2.1.1.118;2.1.1.323;2.1.1.114;2.1.1.330;2.1.1.89;2.1.1.292;2.1.1.88;2.1.1.-|2.1.1.222,2.1.1,2.1.1;2.8.4;2.3.1;1.17.98;2.5.1,2.1.1,2.1.1
15086,3.2.1.49,3.2.1,3.2.1;4.2.1;3.3.2;3.1.1,2.4.1.211;2.4.1.320;2.4.1.90;3.2.1.179;2.4.1.280;2.4.1.-|2.4.1.285;2.4.1.250;2.4.1.31;2.4.1.279;2.3.1.72;2.4.1.20;2.4.1.8;2.4.1.281;2.4.1.-|2.4.1.282;2.4.1.247;5.4.99.16;2.4.1.-|2.4.1.301;3.2.1.85,3.2.1,3.2.1;2.4.1;4.2.1;2.3.1;3.1.4,3.2.1,3.2.1
15534,1.1.1.337,1.1.1,2.3.1;7.2.4;1.3.1;1.2.1,1.1.1.272|1.1.1.310;1.1.1.272|1.1.1.338;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17,1.1.1,1.1.1;1.4.1;1.17.1;1.16.1;1.12.1,1.1.1,1.1.1
15594,3.1.3.107,2.5.1,3.1.3;3.1.7;3.1.4;2.5.1,2.4.1.230;3.1.4.57;2.4.1.20;2.4.1.8;2.4.1.279;2.4.1.281;2.4.1.31;2.4.1.321;4.2.3.152;2.6.99.2,3.1.7,3.1.3;3.6.1;3.6.5;3.6.4;3.1.7,2.4.1,2.4.1
16330,1.13.11.92,1.13.11,1.2.3;1.13.12;1.13.11;1.13.99,1.14.19.47;1.14.19.12;1.14.19.4;1.14.19.33;1.14.19.35;1.14.19.25;1.13.11.77;1.13.11.61;1.13.11.12;1.14.19.30;1.14.19.36;1.13.11.44|1.13.11.60;1.14.19.31;1.13.11.58;1.13.11.62;1.13.11.12|1.13.11.31|1.13.11.33;1.14.19.14;1.14.19.16;1.14.19.39;1.13.11.45,1.13.11,1.13.11;5.4.4;1.3.3;4.2.1;1.14.99,1.13.11,1.13.11
16742,2.3.1.22,2.3.1,2.3.1;2.3.2;2.3.3;2.7.8,2.3.1.20;2.3.1.51,2.3.1,2.3.1;6.2.1;2.3.3;3.1.2;2.3.2,2.3.1,2.3.1
17134,2.7.11.6,2.7.11,2.8.2;2.4.3;2.3.2;2.7.11,2.7.1.31;2.7.1.210;2.7.1.189;2.7.1.220;2.7.1.219;2.7.1.28;2.7.1.103;2.7.1.16|2.7.1.47;2.7.1.17;2.7.1.53;2.7.1.30,2.7.11,2.7.11;2.7.12;2.7.1;2.7.8;2.7.4,2.7.1,2.7.1
17610,1.1.98.7,1.21.98,2.5.1;4.2.3;2.1.1;4.4.1,1.17.98.2;2.8.1.8,2.8.4,2.1.1;1.17.98;2.5.1;2.8.4;4.4.1,1.17.98,1.17.98
18346,4.1.1.114,4.1.1,3.7.1;1.1.9;1.1.99;4.2.1,4.1.1.1;1.2.5.3;1.17.5.3;3.1.1.25;1.1.98.6;2.3.1.199;1.2.7.4,,3.3.2;5.1.99;4.1.1;2.2.1;6.1.3,4.1.1,4.1.1
18758,1.14.11.70,1.14.11,2.4.2;3.2.1;2.4.1;4.3.3,1.13|1.13.12.19;1.14.11.58;1.14.11.9;1.14.20.6;1.14.11.22|1.14.20.5;1.14.20.4;1.14.11.20;1.14.11.39;1.14.11.40;1.14.11.21;1.14.11.25;1.14.11.-|1.14.11.35;1.14.11.13;1.14.11.11;1.14.11.4;1.14.11.2;1.14.11.16,1.14.11,1.14.11;1.14.20;1.13.12;1.14.99;2.6.1,1.14.11,1.14.11
18806,1.8.4.15,1.8.4,2.3.3;2.3.1;2.7.8;2.7.7,2.6.1.1|2.6.1.3;6.3.2.2,5.1.3;5.1.1,2.7.4;2.7.8;2.3.1;5.2.1;2.6.1,2.3.1|2.7.8,2.6.1
